Text,Comments,Image,Folio
urn:cts:greekLit:tlg5026.msAint.hmt:17.36,,"urn:cite:hmt:vaimg.VA236VN-0738@0.826,0.5207,0.093,0.0225",urn:cite:hmt:msA.236v
urn:cts:greekLit:tlg5026.msAint.hmt:17.37,,"urn:cite:hmt:vaimg.VA236VN-0738@0.898,0.5387,0.038,0.0323",urn:cite:hmt:msA.236v
urn:cts:greekLit:tlg5026.msAint.hmt:17.38,,"urn:cite:hmt:vaimg.VA237RN-0408@0.143,0.5011,0.053,0.0526",urn:cite:hmt:msA.237r
urn:cts:greekLit:tlg5026.msAint.hmt:17.39,,"urn:cite:hmt:vaimg.VA237RN-0408@0.127,0.6311,0.06,0.0556",urn:cite:hmt:msA.237r
urn:cts:greekLit:tlg5026.msAint.hmt:17.40,,"urn:cite:hmt:vaimg.VA237VN-0739@0.88,0.3238,0.048,0.027",urn:cite:hmt:msA.237v
urn:cts:greekLit:tlg5026.msAint.hmt:17.41,,"urn:cite:hmt:vaimg.VA237VN-0739@0.888,0.5274,0.047,0.0361",urn:cite:hmt:msA.237v
urn:cts:greekLit:tlg5026.msAil.hmt:17.1,,"urn:cite:hmt:vaimg.VA223VN-0725@0.4723,0.216,0.0726,0.0102",urn:cite:hmt:msA.223v
urn:cts:greekLit:tlg5026.msAil.hmt:17.2,,"urn:cite:hmt:vaimg.VA223VN-0725@0.7875,0.2885,0.0335,0.0077",urn:cite:hmt:msA.223v
urn:cts:greekLit:tlg5026.msAil.hmt:17.3,,"urn:cite:hmt:vaimg.VA223VN-0725@0.615,0.3031,0.0686,0.0105",urn:cite:hmt:msA.223v
urn:cts:greekLit:tlg5026.msAil.hmt:17.4,,"urn:cite:hmt:vaimg.VA223VN-0725@0.6721,0.3787,0.049,0.0102",urn:cite:hmt:msA.223v
urn:cts:greekLit:tlg5026.msAil.hmt:17.5,,"urn:cite:hmt:vaimg.VA223VN-0725@0.6765,0.5304,0.0416,0.0097",urn:cite:hmt:msA.223v
urn:cts:greekLit:tlg5026.msAil.hmt:17.6,,"urn:cite:hmt:vaimg.VA223VN-0725@0.7506,0.622,0.1356,0.0108",urn:cite:hmt:msA.223v
urn:cts:greekLit:tlg5026.msAil.hmt:17.7,,"urn:cite:hmt:vaimg.VA223VN-0725@0.6857,0.6416,0.0523,0.0111",urn:cite:hmt:msA.223v
urn:cts:greekLit:tlg5026.msAil.hmt:17.8,,"urn:cite:hmt:vaimg.VA223VN-0725@0.6879,0.6594,0.0726,0.0105",urn:cite:hmt:msA.223v
urn:cts:greekLit:tlg5026.msAil.hmt:17.9,,"urn:cite:hmt:vaimg.VA223VN-0725@0.68,0.6762,0.085,0.0135",urn:cite:hmt:msA.223v
urn:cts:greekLit:tlg5026.msAil.hmt:17.10,,"urn:cite:hmt:vaimg.VA224VN-0726@0.753,0.2893,0.056,0.0105",urn:cite:hmt:msA.224v
urn:cts:greekLit:tlg5026.msAil.hmt:17.11,,"urn:cite:hmt:vaimg.VA224VN-0726@0.721,0.3035,0.115,0.0173",urn:cite:hmt:msA.224v
urn:cts:greekLit:tlg5026.msAil.hmt:17.12,,"urn:cite:hmt:vaimg.VA224VN-0726@0.515,0.4906,0.097,0.015",urn:cite:hmt:msA.224v
urn:cts:greekLit:tlg5026.msAil.hmt:17.13,,"urn:cite:hmt:vaimg.VA224VN-0726@0.615,0.5124,0.1,0.012",urn:cite:hmt:msA.224v
urn:cts:greekLit:tlg5026.msAil.hmt:17.14,,"urn:cite:hmt:vaimg.VA226RN-0397@0.266,0.2352,0.043,0.0135",urn:cite:hmt:msA.226r
urn:cts:greekLit:tlg5026.msAil.hmt:17.15,,"urn:cite:hmt:vaimg.VA226RN-0397@0.279,0.3914,0.1,0.0128",urn:cite:hmt:msA.226r
urn:cts:greekLit:tlg5026.msAil.hmt:17.16,,"urn:cite:hmt:vaimg.VA226VN-0728@0.699,0.2923,0.091,0.0165",urn:cite:hmt:msA.226v
urn:cts:greekLit:tlg5026.msAil.hmt:17.17,,"urn:cite:hmt:vaimg.VA226VN-0728@0.524,0.405,0.066,0.0135",urn:cite:hmt:msA.226v
urn:cts:greekLit:tlg5026.msAil.hmt:17.18,,"urn:cite:hmt:vaimg.VA226VN-0728@0.642,0.5965,0.083,0.0158",urn:cite:hmt:msA.226v
urn:cts:greekLit:tlg5026.msAil.hmt:17.19,,"urn:cite:hmt:vaimg.VA227VN-0729@0.653,0.2352,0.026,0.0128",urn:cite:hmt:msA.227v
urn:cts:greekLit:tlg5026.msAil.hmt:17.20,,"urn:cite:hmt:vaimg.VA227VN-0729@0.542,0.3253,0.056,0.0135",urn:cite:hmt:msA.227v
urn:cts:greekLit:tlg5026.msAil.hmt:17.20a,,"urn:cite:hmt:vaimg.VA227VN-0729@0.875,0.3869,0.052,0.018",urn:cite:hmt:msA.227v
urn:cts:greekLit:tlg5026.msAil.hmt:17.21,,"urn:cite:hmt:vaimg.VA227VN-0729@0.708,0.4388,0.181,0.0188",urn:cite:hmt:msA.227v
urn:cts:greekLit:tlg5026.msAil.hmt:17.22,,"urn:cite:hmt:vaimg.VA227VN-0729@0.521,0.4771,0.052,0.0165",urn:cite:hmt:msA.227v
urn:cts:greekLit:tlg5026.msAil.hmt:17.23,,"urn:cite:hmt:vaimg.VA227VN-0729@0.697,0.6627,0.055,0.0158",urn:cite:hmt:msA.227v
urn:cts:greekLit:tlg5026.msAil.hmt:17.24,,"urn:cite:hmt:vaimg.VA228RN-0399@0.433,0.2547,0.018,0.012",urn:cite:hmt:msA.228r
urn:cts:greekLit:tlg5026.msAil.hmt:17.24a,,"urn:cite:hmt:vaimg.VA228RN-0399@0.302,0.3869,0.042,0.015",urn:cite:hmt:msA.228r
urn:cts:greekLit:tlg5026.msAil.hmt:17.25,,"urn:cite:hmt:vaimg.VA228RN-0399@0.193,0.4989,0.08,0.0128",urn:cite:hmt:msA.228r
urn:cts:greekLit:tlg5026.msAil.hmt:17.26,,"urn:cite:hmt:vaimg.VA228VN-0730@0.589,0.272,0.113,0.015",urn:cite:hmt:msA.228v
urn:cts:greekLit:tlg5026.msAil.hmt:17.27,,"urn:cite:hmt:vaimg.VA228VN-0730@0.622,0.4222,0.12,0.0173",urn:cite:hmt:msA.228v
urn:cts:greekLit:tlg5026.msAil.hmt:17.28,,"urn:cite:hmt:vaimg.VA228VN-0730@0.693,0.4778,0.056,0.0173",urn:cite:hmt:msA.228v
urn:cts:greekLit:tlg5026.msAil.hmt:17.29,,"urn:cite:hmt:vaimg.VA236RN-0407@0.398,0.3501,0.094,0.0158",urn:cite:hmt:msA.236r
urn:cts:greekLit:tlg5026.msAil.hmt:17.30,,"urn:cite:hmt:vaimg.VA236VN-0738@0.576,0.5199,0.045,0.009",urn:cite:hmt:msA.236v
urn:cts:greekLit:tlg5026.msAil.hmt:17.31,,"urn:cite:hmt:vaimg.VA237RN-0408@0.331,0.4974,0.035,0.015",urn:cite:hmt:msA.237r
urn:cts:greekLit:tlg5026.msAil.hmt:17.32,,"urn:cite:hmt:vaimg.VA237RN-0408@0.521,0.5124,0.052,0.015",urn:cite:hmt:msA.237r
urn:cts:greekLit:tlg5026.msAim.hmt:17.1,,"urn:cite:hmt:vaimg.VA223VN-0725@0.44,0.3434,0.057,0.0451",urn:cite:hmt:msA.223v
urn:cts:greekLit:tlg5026.msAim.hmt:17.2,,"urn:cite:hmt:vaimg.VA223VN-0725@0.435,0.4793,0.069,0.0541",urn:cite:hmt:msA.223v
urn:cts:greekLit:tlg5026.msAim.hmt:17.3,,"urn:cite:hmt:vaimg.VA223VN-0725@0.437,0.5973,0.059,0.0278",urn:cite:hmt:msA.223v
urn:cts:greekLit:tlg5026.msAim.hmt:17.4,,"urn:cite:hmt:vaimg.VA224RN-0395@0.5709,0.237,0.0313,0.0421",urn:cite:hmt:msA.224r
urn:cts:greekLit:tlg5026.msAim.hmt:17.5,,"urn:cite:hmt:vaimg.VA224RN-0395@0.5466,0.4448,0.0579,0.0227",urn:cite:hmt:msA.224r
urn:cts:greekLit:tlg5026.msAim.hmt:17.6,,"urn:cite:hmt:vaimg.VA224RN-0395@0.5403,0.4819,0.0579,0.031",urn:cite:hmt:msA.224r
urn:cts:greekLit:tlg5026.msAim.hmt:17.7,,"urn:cite:hmt:vaimg.VA224RN-0395@0.4979,0.5209,0.1006,0.0196",urn:cite:hmt:msA.224r
urn:cts:greekLit:tlg5026.msAim.hmt:17.8,,"urn:cite:hmt:vaimg.VA224RN-0395@0.2053,0.6903,0.2866,0.0154",urn:cite:hmt:msA.224r
urn:cts:greekLit:tlg5026.msAim.hmt:17.9,,"urn:cite:hmt:vaimg.VA224VN-0726@0.422,0.2825,0.074,0.0338",urn:cite:hmt:msA.224v
urn:cts:greekLit:tlg5026.msAim.hmt:17.10,,"urn:cite:hmt:vaimg.VA224VN-0726@0.436,0.4944,0.059,0.0293",urn:cite:hmt:msA.224v
urn:cts:greekLit:tlg5026.msAim.hmt:17.11,,"urn:cite:hmt:vaimg.VA224VN-0726@0.44,0.6168,0.059,0.0609",urn:cite:hmt:msA.224v
urn:cts:greekLit:tlg5026.msAim.hmt:17.12,,"urn:cite:hmt:vaimg.VA225RN-0396@0.583,0.5718,0.044,0.024",urn:cite:hmt:msA.225r
urn:cts:greekLit:tlg5026.msAim.hmt:17.13,,"urn:cite:hmt:vaimg.VA225VN-0727@0.433,0.2216,0.05,0.0323",urn:cite:hmt:msA.225v
urn:cts:greekLit:tlg5026.msAim.hmt:17.14,,"urn:cite:hmt:vaimg.VA225VN-0727@0.438,0.2622,0.04,0.0278",urn:cite:hmt:msA.225v
urn:cts:greekLit:tlg5026.msAim.hmt:17.15,,"urn:cite:hmt:vaimg.VA226RN-0397@0.532,0.3366,0.08,0.0173",urn:cite:hmt:msA.226r
urn:cts:greekLit:tlg5026.msAim.hmt:17.16,,"urn:cite:hmt:vaimg.VA226RN-0397@0.574,0.5222,0.042,0.0391",urn:cite:hmt:msA.226r
urn:cts:greekLit:tlg5026.msAim.hmt:17.17,,"urn:cite:hmt:vaimg.VA226RN-0397@0.184,0.6634,0.341,0.0293",urn:cite:hmt:msA.226r
urn:cts:greekLit:tlg5026.msAim.hmt:17.18,,"urn:cite:hmt:vaimg.VA226VN-0728@0.409,0.2434,0.077,0.0203",urn:cite:hmt:msA.226v
urn:cts:greekLit:tlg5026.msAim.hmt:17.19,,"urn:cite:hmt:vaimg.VA226VN-0728@0.444,0.4102,0.048,0.0248",urn:cite:hmt:msA.226v
urn:cts:greekLit:tlg5026.msAim.hmt:17.20,,"urn:cite:hmt:vaimg.VA226VN-0728@0.44,0.4523,0.048,0.0316",urn:cite:hmt:msA.226v
urn:cts:greekLit:tlg5026.msAim.hmt:17.21,,"urn:cite:hmt:vaimg.VA226VN-0728@0.437,0.6026,0.053,0.0255",urn:cite:hmt:msA.226v
urn:cts:greekLit:tlg5026.msAim.hmt:17.22,,"urn:cite:hmt:vaimg.VA226VN-0728@0.432,0.6627,0.066,0.0293",urn:cite:hmt:msA.226v
urn:cts:greekLit:tlg5026.msAim.hmt:17.23,,"urn:cite:hmt:vaimg.VA227RN-0398@0.534,0.1938,0.079,0.0248",urn:cite:hmt:msA.227r
urn:cts:greekLit:tlg5026.msAim.hmt:17.24,,"urn:cite:hmt:vaimg.VA227RN-0398@0.557,0.4793,0.048,0.0203",urn:cite:hmt:msA.227r
urn:cts:greekLit:tlg5026.msAim.hmt:17.25,,"urn:cite:hmt:vaimg.VA227VN-0729@0.446,0.2382,0.045,0.0308",urn:cite:hmt:msA.227v
urn:cts:greekLit:tlg5026.msAim.hmt:17.26,,"urn:cite:hmt:vaimg.VA227VN-0729@0.443,0.4688,0.047,0.0639",urn:cite:hmt:msA.227v
urn:cts:greekLit:tlg5026.msAim.hmt:17.27,,"urn:cite:hmt:vaimg.VA228RN-0399@0.585,0.2607,0.068,0.0203",urn:cite:hmt:msA.228r
urn:cts:greekLit:tlg5026.msAim.hmt:17.28,,"urn:cite:hmt:vaimg.VA228RN-0399@0.59,0.2983,0.071,0.0368",urn:cite:hmt:msA.228r
urn:cts:greekLit:tlg5026.msAim.hmt:17.29,,"urn:cite:hmt:vaimg.VA228RN-0399@0.602,0.3554,0.049,0.027",urn:cite:hmt:msA.228r
urn:cts:greekLit:tlg5026.msAim.hmt:17.30,,"urn:cite:hmt:vaimg.VA228RN-0399@0.569,0.4455,0.049,0.0496",urn:cite:hmt:msA.228r
urn:cts:greekLit:tlg5026.msAim.hmt:17.31,,"urn:cite:hmt:vaimg.VA228RN-0399@0.564,0.6627,0.063,0.0203",urn:cite:hmt:msA.228r
urn:cts:greekLit:tlg5026.msAim.hmt:17.32,,"urn:cite:hmt:vaimg.VA228RN-0399@0.552,0.6799,0.076,0.0331",urn:cite:hmt:msA.228r
urn:cts:greekLit:tlg5026.msAim.hmt:17.33,,"urn:cite:hmt:vaimg.VA228VN-0730@0.443,0.2607,0.053,0.0398",urn:cite:hmt:msA.228v
urn:cts:greekLit:tlg5026.msAim.hmt:17.34,,"urn:cite:hmt:vaimg.VA228VN-0730@0.443,0.3869,0.053,0.0353",urn:cite:hmt:msA.228v
urn:cts:greekLit:tlg5026.msAim.hmt:17.35,,"urn:cite:hmt:vaimg.VA228VN-0730@0.459,0.4651,0.043,0.0451",urn:cite:hmt:msA.228v
urn:cts:greekLit:tlg5026.msAim.hmt:17.36,,"urn:cite:hmt:vaimg.VA228VN-0730@0.451,0.5447,0.046,0.0331",urn:cite:hmt:msA.228v
urn:cts:greekLit:tlg5026.msAim.hmt:17.37,,"urn:cite:hmt:vaimg.VA228VN-0730@0.454,0.586,0.047,0.0376",urn:cite:hmt:msA.228v
urn:cts:greekLit:tlg5026.msAim.hmt:17.38,,"urn:cite:hmt:vaimg.VA228VN-0730@0.463,0.6394,0.038,0.0436",urn:cite:hmt:msA.228v
urn:cts:greekLit:tlg5026.msAim.hmt:17.39,,"urn:cite:hmt:vaimg.VA235RN-0406@0.573,0.5582,0.058,0.0323",urn:cite:hmt:msA.235r
urn:cts:greekLit:tlg5026.msAim.hmt:17.40,,"urn:cite:hmt:vaimg.VA235RN-0406@0.602,0.6747,0.042,0.0361",urn:cite:hmt:msA.235r
urn:cts:greekLit:tlg5026.msAim.hmt:17.41,,"urn:cite:hmt:vaimg.VA235VN-0737@0.435,0.2945,0.057,0.0451",urn:cite:hmt:msA.235v
urn:cts:greekLit:tlg5026.msAim.hmt:17.42,,"urn:cite:hmt:vaimg.VA235VN-0737@0.448,0.5026,0.047,0.0466",urn:cite:hmt:msA.235v
urn:cts:greekLit:tlg5026.msAim.hmt:17.43,,"urn:cite:hmt:vaimg.VA236RN-0407@0.571,0.2224,0.071,0.0233",urn:cite:hmt:msA.236r
urn:cts:greekLit:tlg5026.msAim.hmt:17.44,,"urn:cite:hmt:vaimg.VA236RN-0407@0.591,0.2434,0.058,0.0188",urn:cite:hmt:msA.236r
urn:cts:greekLit:tlg5026.msAim.hmt:17.45,,"urn:cite:hmt:vaimg.VA236RN-0407@0.587,0.3509,0.069,0.0323",urn:cite:hmt:msA.236r
urn:cts:greekLit:tlg5026.msAim.hmt:17.46,,"urn:cite:hmt:vaimg.VA236RN-0407@0.564,0.5259,0.031,0.0248",urn:cite:hmt:msA.236r
urn:cts:greekLit:tlg5026.msAim.hmt:17.47,,"urn:cite:hmt:vaimg.VA236VN-0738@0.452,0.3163,0.055,0.0473",urn:cite:hmt:msA.236v
urn:cts:greekLit:tlg5026.msAim.hmt:17.48,,"urn:cite:hmt:vaimg.VA236VN-0738@0.444,0.4072,0.061,0.0391",urn:cite:hmt:msA.236v
urn:cts:greekLit:tlg5026.msAim.hmt:17.49,,"urn:cite:hmt:vaimg.VA237RN-0408@0.54,0.2314,0.066,0.0316",urn:cite:hmt:msA.237r
urn:cts:greekLit:tlg5026.msAim.hmt:17.50,,"urn:cite:hmt:vaimg.VA237RN-0408@0.615,0.4869,0.076,0.0225",urn:cite:hmt:msA.237r
urn:cts:greekLit:tlg5026.msAim.hmt:17.51,,"urn:cite:hmt:vaimg.VA237VN-0739@0.431,0.6484,0.075,0.0654",urn:cite:hmt:msA.237v
urn:cts:greekLit:tlg5026.msA.hmt:17.1,,"urn:cite:hmt:vaimg.VA223VN-0725@0.223,0.1202,0.663,0.0533",urn:cite:hmt:msA.223v
urn:cts:greekLit:tlg5026.msA.hmt:17.2,,"urn:cite:hmt:vaimg.VA223VN-0725@0.232,0.1629,0.668,0.0541",urn:cite:hmt:msA.223v
urn:cts:greekLit:tlg5026.msA.hmt:17.3,,"urn:cite:hmt:vaimg.VA223VN-0725@0.221,0.2044,0.685,0.0789",urn:cite:hmt:msA.223v
urn:cts:greekLit:tlg5026.msA.hmt:17.4,,"urn:cite:hmt:vaimg.VA223VN-0725@0.231,0.272,0.206,0.0932",urn:cite:hmt:msA.223v
urn:cts:greekLit:tlg5026.msA.hmt:17.5,,"urn:cite:hmt:vaimg.VA223VN-0725@0.226,0.3619,0.215,0.0601",urn:cite:hmt:msA.223v
urn:cts:greekLit:tlg5026.msA.hmt:17.6,,"urn:cite:hmt:vaimg.VA223VN-0725@0.225,0.417,0.226,0.0631",urn:cite:hmt:msA.223v
urn:cts:greekLit:tlg5026.msA.hmt:17.7,,"urn:cite:hmt:vaimg.VA223VN-0725@0.226,0.4872,0.215,0.0541",urn:cite:hmt:msA.223v
urn:cts:greekLit:tlg5026.msA.hmt:17.8,,"urn:cite:hmt:vaimg.VA223VN-0725@0.224,0.5334,0.084,0.021",urn:cite:hmt:msA.223v
urn:cts:greekLit:tlg5026.msA.hmt:17.9,,"urn:cite:hmt:vaimg.VA223VN-0725@0.235,0.7192,0.658,0.0383",urn:cite:hmt:msA.223v
urn:cts:greekLit:tlg5026.msA.hmt:17.10,,"urn:cite:hmt:vaimg.VA223VN-0725@0.234,0.7378,0.671,0.0443",urn:cite:hmt:msA.223v
urn:cts:greekLit:tlg5026.msA.hmt:17.11,,"urn:cite:hmt:vaimg.VA224RN-0395@0.1956,0.093,0.6031,0.0324",urn:cite:hmt:msA.224r
urn:cts:greekLit:tlg5026.msA.hmt:17.12,,"urn:cite:hmt:vaimg.VA224RN-0395@0.196,0.114,0.6075,0.0257",urn:cite:hmt:msA.224r
urn:cts:greekLit:tlg5026.msA.hmt:17.13,,"urn:cite:hmt:vaimg.VA224RN-0395@0.1919,0.1312,0.6152,0.0634",urn:cite:hmt:msA.224r
urn:cts:greekLit:tlg5026.msA.hmt:17.14,,"urn:cite:hmt:vaimg.VA224RN-0395@0.5283,0.1819,0.2756,0.0389",urn:cite:hmt:msA.224r
urn:cts:greekLit:tlg5026.msA.hmt:17.15,,"urn:cite:hmt:vaimg.VA224RN-0395@0.5971,0.2189,0.2079,0.0371",urn:cite:hmt:msA.224r
urn:cts:greekLit:tlg5026.msA.hmt:17.16,,"urn:cite:hmt:vaimg.VA224RN-0395@0.6013,0.2542,0.207,0.082",urn:cite:hmt:msA.224r
urn:cts:greekLit:tlg5026.msA.hmt:17.17,,"urn:cite:hmt:vaimg.VA224RN-0395@0.596,0.3341,0.214,0.0608",urn:cite:hmt:msA.224r
urn:cts:greekLit:tlg5026.msA.hmt:17.18,,"urn:cite:hmt:vaimg.VA224RN-0395@0.602,0.3919,0.204,0.1562",urn:cite:hmt:msA.224r
urn:cts:greekLit:tlg5026.msA.hmt:17.19,,"urn:cite:hmt:vaimg.VA224RN-0395@0.596,0.545,0.204,0.0571",urn:cite:hmt:msA.224r
urn:cts:greekLit:tlg5026.msA.hmt:17.20,,"urn:cite:hmt:vaimg.VA224RN-0395@0.596,0.6006,0.207,0.0601",urn:cite:hmt:msA.224r
urn:cts:greekLit:tlg5026.msA.hmt:17.21,,"urn:cite:hmt:vaimg.VA224RN-0395@0.601,0.6456,0.196,0.0736",urn:cite:hmt:msA.224r
urn:cts:greekLit:tlg5026.msA.hmt:17.22,,"urn:cite:hmt:vaimg.VA224RN-0395@0.172,0.7147,0.622,0.027",urn:cite:hmt:msA.224r
urn:cts:greekLit:tlg5026.msA.hmt:17.23,,"urn:cite:hmt:vaimg.VA224RN-0395@0.183,0.7275,0.611,0.0263",urn:cite:hmt:msA.224r
urn:cts:greekLit:tlg5026.msA.hmt:17.24,,"urn:cite:hmt:vaimg.VA224RN-0395@0.183,0.738,0.614,0.0398",urn:cite:hmt:msA.224r
urn:cts:greekLit:tlg5026.msA.hmt:17.25,,"urn:cite:hmt:vaimg.VA224VN-0726@0.243,0.1141,0.625,0.045",urn:cite:hmt:msA.224v
urn:cts:greekLit:tlg5026.msA.hmt:17.26,,"urn:cite:hmt:vaimg.VA224VN-0726@0.243,0.1441,0.628,0.0315",urn:cite:hmt:msA.224v
