Speech,Speaker,Passage
urn:cite:hmt:speech.70,urn:cite:hmt:pers.pers19,urn:cts:greekLit:tlg0012.tlg001.msA:1.514-1.516
urn:cite:hmt:speech.71,urn:cite:hmt:pers.pers8,urn:cts:greekLit:tlg0012.tlg001.msA:1.518-1.527
urn:cite:hmt:speech.72,urn:cite:hmt:pers.pers116,urn:cts:greekLit:tlg0012.tlg001.msA:1.540-1.543
urn:cite:hmt:speech.73,urn:cite:hmt:pers.pers8,urn:cts:greekLit:tlg0012.tlg001.msA:1.545-1.550
urn:cite:hmt:speech.74,urn:cite:hmt:pers.pers116,urn:cts:greekLit:tlg0012.tlg001.msA:1.552-1.559
urn:cite:hmt:speech.75,urn:cite:hmt:pers.pers8,urn:cts:greekLit:tlg0012.tlg001.msA:1.561-1.567
urn:cite:hmt:speech.76,urn:cite:hmt:pers.pers192,urn:cts:greekLit:tlg0012.tlg001.msA:1.573-1.583
urn:cite:hmt:speech.77,urn:cite:hmt:pers.pers192,urn:cts:greekLit:tlg0012.tlg001.msA:2.586-2.594
urn:cite:hmt:speech.78,urn:cite:hmt:pers.pers8,urn:cts:greekLit:tlg0012.tlg001.msA:2.11-2.15
urn:cite:hmt:speech.79,urn:cite:hmt:pers.pers659,urn:cts:greekLit:tlg0012.tlg001.msA:2.23-2.34
urn:cite:hmt:speech.80,urn:cite:hmt:pers.pers22,urn:cts:greekLit:tlg0012.tlg001.msA:2.56-2.75
urn:cite:hmt:speech.81,urn:cite:hmt:pers.pers117,urn:cts:greekLit:tlg0012.tlg001.msA:2.79-2.83
urn:cite:hmt:speech.82,urn:cite:hmt:pers.pers22,urn:cts:greekLit:tlg0012.tlg001.msA:2.110-2.141
urn:cite:hmt:speech.83,urn:cite:hmt:pers.pers116,urn:cts:greekLit:tlg0012.tlg001.msA:2.157-2.165
urn:cite:hmt:speech.84,urn:cite:hmt:pers.pers67,urn:cts:greekLit:tlg0012.tlg001.msA:2.173-2.181
urn:cite:hmt:speech.85,urn:cite:hmt:pers.pers118,urn:cts:greekLit:tlg0012.tlg001.msA:2.190-2.197
urn:cite:hmt:speech.86,urn:cite:hmt:pers.pers118,urn:cts:greekLit:tlg0012.tlg001.msA:2.200-2.206
urn:cite:hmt:speech.87,urn:cite:hmt:pers.pers310,urn:cts:greekLit:tlg0012.tlg001.msA:2.225-2.242
urn:cite:hmt:speech.88,urn:cite:hmt:pers.pers118,urn:cts:greekLit:tlg0012.tlg001.msA:2.246-2.264
urn:cite:hmt:speech.89,urn:cite:hmt:pers.pers660,urn:cts:greekLit:tlg0012.tlg001.msA:2.272-2.277
urn:cite:hmt:speech.90,urn:cite:hmt:pers.pers118,urn:cts:greekLit:tlg0012.tlg001.msA:2.284-2.332
urn:cite:hmt:speech.91,urn:cite:hmt:pers.pers117,urn:cts:greekLit:tlg0012.tlg001.msA:2.337-2.368
urn:cite:hmt:speech.92,urn:cite:hmt:pers.pers22,urn:cts:greekLit:tlg0012.tlg001.msA:2.370-2.393
urn:cite:hmt:speech.93,urn:cite:hmt:pers.pers22,urn:cts:greekLit:tlg0012.tlg001.msA:2.412-2.418
urn:cite:hmt:speech.94,urn:cite:hmt:pers.pers117,urn:cts:greekLit:tlg0012.tlg001.msA:2.434-2.440
urn:cite:hmt:speech.95,urn:cite:hmt:pers.pers664,urn:cts:greekLit:tlg0012.tlg001.msA:2.796-2.806
urn:cite:hmt:speech.96,urn:cite:hmt:pers.pers172,urn:cts:greekLit:tlg0012.tlg001.msA:3.39-3.57
urn:cite:hmt:speech.97,urn:cite:hmt:pers.pers129,urn:cts:greekLit:tlg0012.tlg001.msA:3.59-3.75
urn:cite:hmt:speech.98,urn:cite:hmt:pers.pers172,urn:cts:greekLit:tlg0012.tlg001.msA:3.86-3.94
urn:cite:hmt:speech.99,urn:cite:hmt:pers.pers119,urn:cts:greekLit:tlg0012.tlg001.msA:3.97-3.110
urn:cite:hmt:speech.100,urn:cite:htm:pers.pers661,urn:cts:greekLit:tlg0012.tlg001.msA:3.130-3.138
urn:cite:hmt:speech.101,#Trojan #Elders,urn:cts:greekLit:tlg0012.tlg001.msA:3.156-3.160
urn:cite:hmt:speech.102,urn:cite:hmt:pers.pers145,urn:cts:greekLit:tlg0012.tlg001.msA:3.162-3.170
urn:cite:hmt:speech.103,urn:cite:hmt:pers.pers94,urn:cts:greekLit:tlg0012.tlg001.msA:3.172-3.180
urn:cite:hmt:speech.104,urn:cite:hmt:pers.pers145,urn:cts:greekLit:tlg0012.tlg001.msA:3.182-3.190
urn:cite:hmt:speech.105,urn:cite:hmt:pers.pers145,urn:cts:greekLit:tlg0012.tlg001.msA:3.192-3.198
urn:cite:hmt:speech.106,urn:cite:hmt:pers.pers94,urn:cts:greekLit:tlg0012.tlg001.msA:3.200-3.202
urn:cite:hmt:speech.107,urn:cite:hmt:pers.pers551,urn:cts:greekLit:tlg0012.tlg001.msA:3.204-3.224
urn:cite:hmt:speech.108,urn:cite:hmt:pers.pers145,urn:cts:greekLit:tlg0012.tlg001.msA:3.226-3.227
urn:cite:hmt:speech.109,urn:cite:hmt:pers.pers94,urn:cts:greekLit:tlg0012.tlg001.msA:3.229-3.242
urn:cite:hmt:speech.110,urn:cite:hmt:pers.pers227,urn:cts:greekLit:tlg0012.tlg001.msA:3.250-3.258
urn:cite:hmt:speech.111,urn:cite:hmt:pers.pers22,urn:cts:greekLit:tlg0012.tlg001.msA:3.276-3.292
urn:cite:hmt:speech.112,urn:cite:hmt:pers.pers662,urn:cts:greekLit:tlg0012.tlg001.msA:3.298-3.301
urn:cite:hmt:speech.113,urn:cite:hmt:pers.pers145,urn:cts:greekLit:tlg0012.tlg001.msA:3.304-3.309
urn:cite:hmt:speech.114,urn:cite:hmt:pers.pers662,urn:cts:greekLit:tlg0012.tlg001.msA:3.320-3.323
urn:cite:hmt:speech.115,urn:cite:hmt:pers.pers119,urn:cts:greekLit:tlg0012.tlg001.msA:3.351-3.354
urn:cite:hmt:speech.116,urn:cite:hmt:pers.pers119,urn:cts:greekLit:tlg0012.tlg001.msA:3.365-3.368
urn:cite:hmt:speech.117,#Aphrodite/Old #Woman,urn:cts:greekLit:tlg0012.tlg001.msA:3.390-3.394
urn:cite:hmt:speech.118,urn:cite:hmt:pers.pers94,urn:cts:greekLit:tlg0012.tlg001.msA:3.399-3.412
urn:cite:hmt:speech.119,urn:cite:hmt:pers.pers194,urn:cts:greekLit:tlg0012.tlg001.msA:3.414-3.417
urn:cite:hmt:speech.120,urn:cite:hmt:pers.pers94,urn:cts:greekLit:tlg0012.tlg001.msA:3.428-3.436
urn:cite:hmt:speech.121,urn:cite:hmt:pers.pers129,urn:cts:greekLit:tlg0012.tlg001.msA:3.438-3.446
urn:cite:hmt:speech.122,urn:cite:hmt:pers.pers22,urn:cts:greekLit:tlg0012.tlg001.msA:4.456-4.460
urn:cite:hmt:speech.123,urn:cite:hmt:pers.pers8,urn:cts:greekLit:tlg0012.tlg001.msA:4.7-4.19
urn:cite:hmt:speech.124,urn:cite:hmt:pers.pers116,urn:cts:greekLit:tlg0012.tlg001.msA:4.25-4.29
urn:cite:hmt:speech.125,urn:cite:hmt:pers.pers8,urn:cts:greekLit:tlg0012.tlg001.msA:4.31-4.49
urn:cite:hmt:speech.126,urn:cite:hmt:pers.pers116,urn:cts:greekLit:tlg0012.tlg001.msA:4.51-4.67
urn:cite:hmt:speech.127,urn:cite:hmt:pers.pers8,urn:cts:greekLit:tlg0012.tlg001.msA:4.70-4.72
urn:cite:hmt:speech.129,urn:cite:hmt:pers.pers662,urn:cts:greekLit:tlg0012.tlg001.msA:4.82-4.84
urn:cite:hmt:speech.130,#Athena/Laodocus,urn:cts:greekLit:tlg0012.tlg001.msA:4.93-4.103
urn:cite:hmt:speech.131,urn:cite:hmt:pers.pers22,urn:cts:greekLit:tlg0012.tlg001.msA:4.155-4.182
urn:cite:hmt:speech.132,urn:cite:hmt:pers.pers119,urn:cts:greekLit:tlg0012.tlg001.msA:4.184-4.187
urn:cite:hmt:speech.133,urn:cite:hmt:pers.pers22,urn:cts:greekLit:tlg0012.tlg001.msA:4.189-4.191
urn:cite:hmt:speech.134,urn:cite:hmt:pers.pers22,urn:cts:greekLit:tlg0012.tlg001.msA:4.193-4.197
urn:cite:hmt:speech.135,urn:cite:hmt:pers.pers159,urn:cts:greekLit:tlg0012.tlg001.msA:4.204-4.207
urn:cite:hmt:speech.136,urn:cite:hmt:pers.pers22,urn:cts:greekLit:tlg0012.tlg001.msA:4.234-4.239
urn:cite:hmt:speech.137,urn:cite:hmt:pers.pers22,urn:cts:greekLit:tlg0012.tlg001.msA:4.242-4.249
urn:cite:hmt:speech.138,urn:cite:hmt:pers.pers22,urn:cts:greekLit:tlg0012.tlg001.msA:4.257-4.264
urn:cite:hmt:speech.140,urn:cite:hmt:pers.pers287,urn:cts:greekLit:tlg0012.tlg001.msA:4.266-4.271
urn:cite:hmt:speech.141,urn:cite:hmt:pers.pers22,urn:cts:greekLit:tlg0012.tlg001.msA:4.285-4.291
urn:cite:hmt:speech.142,urn:cite:hmt:pers.pers117,urn:cts:greekLit:tlg0012.tlg001.msA:4.303-4.309
urn:cite:hmt:speech.143,urn:cite:hmt:pers.pers22,urn:cts:greekLit:tlg0012.tlg001.msA:4.313-4.316
urn:cite:hmt:speech.144,urn:cite:hmt:pers.pers117,urn:cts:greekLit:tlg0012.tlg001.msA:4.318-4.325
urn:cite:hmt:speech.145,urn:cite:hmt:pers.pers22,urn:cts:greekLit:tlg0012.tlg001.msA:4.338-4.348
urn:cite:hmt:speech.146,urn:cite:hmt:pers.pers118,urn:cts:greekLit:tlg0012.tlg001.msA:4.350-4.355
urn:cite:hmt:speech.147,urn:cite:hmt:pers.pers22,urn:cts:greekLit:tlg0012.tlg001.msA:4.358-4.363
urn:cite:hmt:speech.148,urn:cite:hmt:pers.pers22,urn:cts:greekLit:tlg0012.tlg001.msA:4.370-4.400
urn:cite:hmt:speech.149,urn:cite:hmt:pers.pers270,urn:cts:greekLit:tlg0012.tlg001.msA:4.404-4.410
urn:cite:hmt:speech.150,urn:cite:hmt:pers.pers215,urn:cts:greekLit:tlg0012.tlg001.msA:4.412-4.418
urn:cite:hmt:speech.151,urn:cite:hmt:pers.pers40,urn:cts:greekLit:tlg0012.tlg001.msA:5.509-5.513
urn:cite:hmt:speech.152,urn:cite:hmt:pers.pers67,urn:cts:greekLit:tlg0012.tlg001.msA:5.31-5.34
urn:cite:hmt:speech.153,urn:cite:hmt:pers.pers216,urn:cts:greekLit:tlg0012.tlg001.msA:5.102-5.110
urn:cite:hmt:speech.154,urn:cite:hmt:pers.pers215,urn:cts:greekLit:tlg0012.tlg001.msA:5.115-5.120
urn:cite:hmt:speech.155,urn:cite:hmt:pers.pers67,urn:cts:greekLit:tlg0012.tlg001.msA:5.124-5.132
urn:cite:hmt:speech.156,urn:cite:hmt:pers.pers142,urn:cts:greekLit:tlg0012.tlg001.msA:5.171-5.178
urn:cite:hmt:speech.157,urn:cite:hmt:pers.pers216,urn:cts:greekLit:tlg0012.tlg001.msA:5.180-5.216
urn:cite:hmt:speech.158,urn:cite:hmt:pers.pers142,urn:cts:greekLit:tlg0012.tlg001.msA:5.218-5.228
urn:cite:hmt:speech.159,urn:cite:hmt:pers.pers216,urn:cts:greekLit:tlg0012.tlg001.msA:5.230-5.238
urn:cite:hmt:speech.160,urn:cite:hmt:pers.pers270,urn:cts:greekLit:tlg0012.tlg001.msA:5.243-5.250
urn:cite:hmt:speech.161,urn:cite:hmt:pers.pers215,urn:cts:greekLit:tlg0012.tlg001.msA:5.252-5.273
urn:cite:hmt:speech.162,urn:cite:hmt:pers.pers216,urn:cts:greekLit:tlg0012.tlg001.msA:5.277-5.279
urn:cite:hmt:speech.163,urn:cite:hmt:pers.pers216,urn:cts:greekLit:tlg0012.tlg001.msA:5.284-5.289
urn:cite:hmt:speech.164,urn:cite:hmt:pers.pers215,urn:cts:greekLit:tlg0012.tlg001.msA:5.348-5.351
urn:cite:hmt:speech.165,urn:cite:hmt:pers.pers40,urn:cts:greekLit:tlg0012.tlg001.msA:5.357-5.362
urn:cite:hmt:speech.166,urn:cite:hmt:pers.pers554,urn:cts:greekLit:tlg0012.tlg001.msA:5.373-5.374
urn:cite:hmt:speech.167,urn:cite:hmt:pers.pers194,urn:cts:greekLit:tlg0012.tlg001.msA:5.376-5.380
urn:cite:hmt:speech.168,urn:cite:hmt:pers.pers554,urn:cts:greekLit:tlg0012.tlg001.msA:5.382-5.415
urn:cite:hmt:speech.169,urn:cite:hmt:pers.pers67,urn:cts:greekLit:tlg0012.tlg001.msA:5.421-5.425
urn:cite:hmt:speech.170,urn:cite:hmt:pers.pers8,urn:cts:greekLit:tlg0012.tlg001.msA:5.428-5.430
urn:cite:hmt:speech.171,urn:cite:hmt:pers.pers40,urn:cts:greekLit:tlg0012.tlg001.msA:5.440-5.442
urn:cite:hmt:speech.172,urn:cite:hmt:pers.pers40,urn:cts:greekLit:tlg0012.tlg001.msA:5.455-5.459
urn:cite:hmt:speech.173,#Ares/Acamas,urn:cts:greekLit:tlg0012.tlg001.msA:5.464-5.469
urn:cite:hmt:speech.174,urn:cite:hmt:pers.pers195,urn:cts:greekLit:tlg0012.tlg001.msA:5.472-5.492
urn:cite:hmt:speech.175,urn:cite:hmt:pers.pers22,urn:cts:greekLit:tlg0012.tlg001.msA:5.529-5.532
urn:cite:hmt:speech.176,urn:cite:hmt:pers.pers215,urn:cts:greekLit:tlg0012.tlg001.msA:5.601-5.606
urn:cite:hmt:speech.177,urn:cite:hmt:pers.pers285,urn:cts:greekLit:tlg0012.tlg001.msA:5.633-5.646
urn:cite:hmt:speech.178,urn:cite:hmt:pers.pers195,urn:cts:greekLit:tlg0012.tlg001.msA:5.648-5.654
urn:cite:hmt:speech.179,urn:cite:hmt:pers.pers195,urn:cts:greekLit:tlg0012.tlg001.msA:5.684-5.688
urn:cite:hmt:speech.180,urn:cite:hmt:pers.pers116,urn:cts:greekLit:tlg0012.tlg001.msA:5.714-5.718
urn:cite:hmt:speech.182,urn:cite:hmt:pers.pers116,urn:cts:greekLit:tlg0012.tlg001.msA:5.757-5.763
urn:cite:hmt:speech.183,urn:cite:hmt:pers.pers8,urn:cts:greekLit:tlg0012.tlg001.msA:5.765-5.766
urn:cite:hmt:speech.184,#Hera/Stentor,urn:cts:greekLit:tlg0012.tlg001.msA:5.787-5.791
urn:cite:hmt:speech.185,urn:cite:hmt:pers.pers67,urn:cts:greekLit:tlg0012.tlg001.msA:5.800-5.813
urn:cite:hmt:speech.186,urn:cite:hmt:pers.pers215,urn:cts:greekLit:tlg0012.tlg001.msA:5.815-5.824
urn:cite:hmt:speech.187,urn:cite:hmt:pers.pers67,urn:cts:greekLit:tlg0012.tlg001.msA:5.826-5.834
urn:cite:hmt:speech.188,urn:cite:hmt:pers.pers83,urn:cts:greekLit:tlg0012.tlg001.msA:5.872-5.887
urn:cite:hmt:speech.189,urn:cite:hmt:pers.pers8,urn:cts:greekLit:tlg0012.tlg001.msA:6.889-6.898
urn:cite:hmt:speech.190,urn:cite:hmt:pers.pers45,urn:cts:greekLit:tlg0012.tlg001.msA:6.46-6.50
urn:cite:hmt:speech.191,urn:cite:hmt:pers.pers22,urn:cts:greekLit:tlg0012.tlg001.msA:6.55-6.60
urn:cite:hmt:speech.192,urn:cite:hmt:pers.pers117,urn:cts:greekLit:tlg0012.tlg001.msA:6.67-6.71
urn:cite:hmt:speech.193,urn:cite:hmt:pers.pers558,urn:cts:greekLit:tlg0012.tlg001.msA:6.77-6.101
urn:cite:hmt:speech.194,urn:cite:hmt:pers.pers172,urn:cts:greekLit:tlg0012.tlg001.msA:6.111-6.115
urn:cite:hmt:speech.195,urn:cite:hmt:pers.pers215,urn:cts:greekLit:tlg0012.tlg001.msA:6.123-6.143
urn:cite:hmt:speech.196,urn:cite:hmt:pers.pers463,urn:cts:greekLit:tlg0012.tlg001.msA:6.145-6.211
urn:cite:hmt:speech.197,urn:cite:hmt:pers.pers215,urn:cts:greekLit:tlg0012.tlg001.msA:6.215-6.231
urn:cite:hmt:speech.198,urn:cite:hmt:pers.pers557,urn:cts:greekLit:tlg0012.tlg001.msA:6.254-6.262
urn:cite:hmt:speech.199,urn:cite:hmt:pers.pers172,urn:cts:greekLit:tlg0012.tlg001.msA:6.264-6.285
urn:cite:hmt:speech.200,#Hecuba #and #Older #Trojan #Women,urn:cts:greekLit:tlg0012.tlg001.msA:6.305-6.310
urn:cite:hmt:speech.201,urn:cite:hmt:pers.pers172,urn:cts:greekLit:tlg0012.tlg001.msA:6.326-6.331
urn:cite:hmt:speech.202,urn:cite:hmt:pers.pers129,urn:cts:greekLit:tlg0012.tlg001.msA:6.333-6.341
urn:cite:hmt:speech.203,urn:cite:hmt:pers.pers94,urn:cts:greekLit:tlg0012.tlg001.msA:6.344-6.358
urn:cite:hmt:speech.204,urn:cite:hmt:pers.pers172,urn:cts:greekLit:tlg0012.tlg001.msA:6.360-6.368
urn:cite:hmt:speech.205,urn:cite:hmt:pers.pers172,urn:cts:greekLit:tlg0012.tlg001.msA:6.376-6.380
urn:cite:hmt:speech.206,#Old #Housekeeper,urn:cts:greekLit:tlg0012.tlg001.msA:6.382-6.389
urn:cite:hmt:speech.207,urn:cite:hmt:pers.pers171,urn:cts:greekLit:tlg0012.tlg001.msA:6.407-6.439
urn:cite:hmt:speech.208,urn:cite:hmt:pers.pers172,urn:cts:greekLit:tlg0012.tlg001.msA:6.441-6.465
urn:cite:hmt:speech.209,urn:cite:hmt:pers.pers172,urn:cts:greekLit:tlg0012.tlg001.msA:6.476-6.481
urn:cite:hmt:speech.210,urn:cite:hmt:pers.pers172,urn:cts:greekLit:tlg0012.tlg001.msA:6.486-6.493
urn:cite:hmt:speech.211,urn:cite:hmt:pers.pers129,urn:cts:greekLit:tlg0012.tlg001.msA:6.518-6.519
urn:cite:hmt:speech.212,urn:cite:hmt:pers.pers172,urn:cts:greekLit:tlg0012.tlg001.msA:7.521-7.529
urn:cite:hmt:speech.213,urn:cite:hmt:pers.pers40,urn:cts:greekLit:tlg0012.tlg001.msA:7.24-7.32
urn:cite:hmt:speech.214,urn:cite:hmt:pers.pers67,urn:cts:greekLit:tlg0012.tlg001.msA:7.34-7.36
urn:cite:hmt:speech.215,urn:cite:hmt:pers.pers40,urn:cts:greekLit:tlg0012.tlg001.msA:7.38-7.42
urn:cite:hmt:speech.216,urn:cite:hmt:pers.pers558,urn:cts:greekLit:tlg0012.tlg001.msA:7.47-7.53
urn:cite:hmt:speech.217,urn:cite:hmt:pers.pers172,urn:cts:greekLit:tlg0012.tlg001.msA:7.67-7.91
urn:cite:hmt:speech.218,urn:cite:hmt:pers.pers119,urn:cts:greekLit:tlg0012.tlg001.msA:7.96-7.102
urn:cite:hmt:speech.219,urn:cite:hmt:pers.pers22,urn:cts:greekLit:tlg0012.tlg001.msA:7.109-7.119
urn:cite:hmt:speech.220,urn:cite:hmt:pers.pers117,urn:cts:greekLit:tlg0012.tlg001.msA:7.124-7.160
urn:cite:hmt:speech.221,urn:cite:hmt:pers.pers117,urn:cts:greekLit:tlg0012.tlg001.msA:7.171-7.174
urn:cite:hmt:speech.222,urn:cite:hmt:pers.pers660,urn:cts:greekLit:tlg0012.tlg001.msA:7.179-7.180
urn:cite:hmt:speech.223,urn:cite:hmt:pers.pers127,urn:cts:greekLit:tlg0012.tlg001.msA:7.191-7.199
urn:cite:hmt:speech.224,urn:cite:hmt:pers.pers660,urn:cts:greekLit:tlg0012.tlg001.msA:7.202-7.205
urn:cite:hmt:speech.225,urn:cite:hmt:pers.pers127,urn:cts:greekLit:tlg0012.tlg001.msA:7.226-7.232
urn:cite:hmt:speech.226,urn:cite:hmt:pers.pers172,urn:cts:greekLit:tlg0012.tlg001.msA:7.234-7.243
urn:cite:hmt:speech.227,urn:cite:hmt:pers.pers227,urn:cts:greekLit:tlg0012.tlg001.msA:7.279-7.282
urn:cite:hmt:speech.229,urn:cite:hmt:pers.pers127,urn:cts:greekLit:tlg0012.tlg001.msA:7.284-7.286
urn:cite:hmt:speech.230,urn:cite:hmt:pers.pers172,urn:cts:greekLit:tlg0012.tlg001.msA:7.288-7.302
urn:cite:hmt:speech.231,urn:cite:hmt:pers.pers117,urn:cts:greekLit:tlg0012.tlg001.msA:7.327-7.343
urn:cite:hmt:speech.232,urn:cite:hmt:pers.pers551,urn:cts:greekLit:tlg0012.tlg001.msA:7.347-7.353
urn:cite:hmt:speech.233,urn:cite:hmt:pers.pers129,urn:cts:greekLit:tlg0012.tlg001.msA:7.357-7.364
urn:cite:hmt:speech.234,urn:cite:hmt:pers.pers145,urn:cts:greekLit:tlg0012.tlg001.msA:7.368-7.378
urn:cite:hmt:speech.235,urn:cite:hmt:pers.pers227,urn:cts:greekLit:tlg0012.tlg001.msA:7.385-7.397
urn:cite:hmt:speech.236,urn:cite:hmt:pers.pers215,urn:cts:greekLit:tlg0012.tlg001.msA:7.400-7.402
urn:cite:hmt:speech.237,urn:cite:hmt:pers.pers22,urn:cts:greekLit:tlg0012.tlg001.msA:7.406-7.411
urn:cite:hmt:speech.238,urn:cite:hmt:pers.pers47,urn:cts:greekLit:tlg0012.tlg001.msA:7.446-7.453
urn:cite:hmt:speech.239,urn:cite:hmt:pers.pers8,urn:cts:greekLit:tlg0012.tlg001.msA:8.455-8.463
urn:cite:hmt:speech.240,urn:cite:hmt:pers.pers8,urn:cts:greekLit:tlg0012.tlg001.msA:8.5-8.27
urn:cite:hmt:speech.241,urn:cite:hmt:pers.pers67,urn:cts:greekLit:tlg0012.tlg001.msA:8.31-8.37
urn:cite:hmt:speech.242,urn:cite:hmt:pers.pers8,urn:cts:greekLit:tlg0012.tlg001.msA:8.39-8.40
urn:cite:hmt:speech.243,urn:cite:hmt:pers.pers215,urn:cts:greekLit:tlg0012.tlg001.msA:8.93-8.96
urn:cite:hmt:speech.244,urn:cite:hmt:pers.pers215,urn:cts:greekLit:tlg0012.tlg001.msA:8.102-8.111
urn:cite:hmt:speech.245,urn:cite:hmt:pers.pers117,urn:cts:greekLit:tlg0012.tlg001.msA:8.139-8.144
urn:cite:hmt:speech.246,urn:cite:hmt:pers.pers215,urn:cts:greekLit:tlg0012.tlg001.msA:8.146-8.150
urn:cite:hmt:speech.247,urn:cite:hmt:pers.pers117,urn:cts:greekLit:tlg0012.tlg001.msA:8.152-8.156
urn:cite:hmt:speech.248,urn:cite:hmt:pers.pers172,urn:cts:greekLit:tlg0012.tlg001.msA:8.161-8.166
urn:cite:hmt:speech.249,urn:cite:hmt:pers.pers172,urn:cts:greekLit:tlg0012.tlg001.msA:8.173-8.183
urn:cite:hmt:speech.250,urn:cite:hmt:pers.pers172,urn:cts:greekLit:tlg0012.tlg001.msA:8.185-8.197
urn:cite:hmt:speech.251,urn:cite:hmt:pers.pers116,urn:cts:greekLit:tlg0012.tlg001.msA:8.201-8.207
urn:cite:hmt:speech.252,urn:cite:hmt:pers.pers47,urn:cts:greekLit:tlg0012.tlg001.msA:8.209-8.211
urn:cite:hmt:speech.253,urn:cite:hmt:pers.pers22,urn:cts:greekLit:tlg0012.tlg001.msA:8.228-8.244
urn:cite:hmt:speech.254,urn:cite:hmt:pers.pers22,urn:cts:greekLit:tlg0012.tlg001.msA:8.281-8.291
urn:cite:hmt:speech.255,urn:cite:hmt:pers.pers243,urn:cts:greekLit:tlg0012.tlg001.msA:8.293-8.299
urn:cite:hmt:speech.256,urn:cite:hmt:pers.pers116,urn:cts:greekLit:tlg0012.tlg001.msA:8.352-8.356
urn:cite:hmt:speech.257,urn:cite:hmt:pers.pers67,urn:cts:greekLit:tlg0012.tlg001.msA:8.358-8.380
urn:cite:hmt:speech.258,urn:cite:hmt:pers.pers8,urn:cts:greekLit:tlg0012.tlg001.msA:8.399-8.408
urn:cite:hmt:speech.259,urn:cite:hmt:pers.pers282,urn:cts:greekLit:tlg0012.tlg001.msA:8.413-8.424
urn:cite:hmt:speech.260,urn:cite:hmt:pers.pers116,urn:cts:greekLit:tlg0012.tlg001.msA:8.427-8.431
