Image.v1,Label,Rights
urn:cite:hmt:vbimg.VB002RN_0446.v1,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 2, recto.","This image was derived from an original ©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ©2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vbimg.VB002RUV_0003.v1,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 2, recto.","This image was derived from an original ©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ©2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vbimg.VB002VN_0102.v1,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 2, verso.","This image was derived from an original ©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ©2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vbimg.VB002VUV_0094.v1,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 2, verso.","This image was derived from an original ©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ©2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vbimg.VB003RN_0447.v1,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 3, recto.","This image was derived from an original ©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ©2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vbimg.VB003RUV_0004.v1,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 3, recto.","This image was derived from an original ©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ©2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vbimg.VB003VN_0103.v1,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 3, verso.","This image was derived from an original ©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ©2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vbimg.VB003VUV_0093.v1,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 3, verso.","This image was derived from an original ©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ©2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vbimg.VB004RN_0448.v1,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 4, recto.","This image was derived from an original ©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ©2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vbimg.VB004RUV_0005.v1,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 4, recto.","This image was derived from an original ©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ©2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vbimg.VB004VN_0104.v1,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 4, verso.","This image was derived from an original ©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ©2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vbimg.VB004VUV_0092.v1,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 4, verso.","This image was derived from an original ©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ©2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vbimg.VB005RN_0449.v1,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 5, recto.","This image was derived from an original ©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ©2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vbimg.VB005RUV_0006.v1,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 5, recto.","This image was derived from an original ©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ©2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vbimg.VB005VN_0105.v1,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 5, verso.","This image was derived from an original ©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ©2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vbimg.VB005VUV_0091.v1,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 5, verso.","This image was derived from an original ©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ©2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vbimg.VB006RN_0450.v1,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 6, recto.","This image was derived from an original ©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ©2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vbimg.VB006RUV_0007.v1,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 6, recto.","This image was derived from an original ©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ©2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vbimg.VB006VN_0106.v1,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 6, verso.","This image was derived from an original ©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ©2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vbimg.VB006VUV_0090.v1,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 6, verso.","This image was derived from an original ©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ©2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vbimg.VB007RN_0451.v1,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 7, recto.","This image was derived from an original ©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ©2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vbimg.VB007RUV_0008.v1,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 7, recto.","This image was derived from an original ©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ©2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vbimg.VB007VN_0107.v1,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 7, verso.","This image was derived from an original ©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ©2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vbimg.VB007VUV_0089.v1,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 7, verso.","This image was derived from an original ©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ©2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vbimg.VB008RN_0452.v1,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 8, recto.","This image was derived from an original ©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ©2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vbimg.VB008RUV_0009.v1,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 8, recto.","This image was derived from an original ©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ©2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vbimg.VB008VN_0108.v1,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 8, verso.","This image was derived from an original ©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ©2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vbimg.VB008VUV_0088.v1,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 8, verso.","This image was derived from an original ©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ©2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vbimg.VB009RN_0453.v1,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 9, recto.","This image was derived from an original ©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ©2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vbimg.VB009RUV_0010.v1,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 9, recto.","This image was derived from an original ©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ©2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vbimg.VB009VN_0109.v1,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 9, verso.","This image was derived from an original ©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ©2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vbimg.VB009VUV_0087.v1,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 9, verso.","This image was derived from an original ©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ©2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vbimg.VB010RN_0454.v1,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 10, recto.","This image was derived from an original ©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ©2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vbimg.VB010RUV_0011.v1,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 10, recto.","This image was derived from an original ©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ©2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vbimg.VB010VN_0110.v1,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 10, verso.","This image was derived from an original ©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ©2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vbimg.VB010VUV_0086.v1,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 10, verso.","This image was derived from an original ©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ©2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vbimg.VB011RN_0455.v1,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 11, recto.","This image was derived from an original ©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ©2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vbimg.VB011RUV_0012.v1,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 11, recto.","This image was derived from an original ©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ©2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vbimg.VB011VN_0111.v1,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 11, verso.","This image was derived from an original ©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ©2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vbimg.VB011VUV_0085.v1,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 11, verso.","This image was derived from an original ©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ©2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vbimg.VB012RN_0456.v1,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 12, recto.","This image was derived from an original ©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ©2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vbimg.VB012RUV_0013.v1,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 12, recto.","This image was derived from an original ©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ©2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vbimg.VB012VN_0112.v1,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 12, verso.","This image was derived from an original ©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ©2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vbimg.VB013RN_0457.v1,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 13, recto.","This image was derived from an original ©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ©2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vbimg.VB013RUV_0014.v1,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 13, recto.","This image was derived from an original ©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ©2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vbimg.VB013VN_0113.v1,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 13, verso.","This image was derived from an original ©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ©2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vbimg.VB013VUV_0097.v1,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 13, verso.","This image was derived from an original ©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ©2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vbimg.VB014RN_0458.v1,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 14, recto.","This image was derived from an original ©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ©2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vbimg.VB014RUV_0015.v1,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 14, recto.","This image was derived from an original ©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ©2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vbimg.VB014VN_0114.v1,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 14, verso.","This image was derived from an original ©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ©2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vbimg.VB014VUV_0084.v1,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 14, verso.","This image was derived from an original ©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ©2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vbimg.VB015RN_0459.v1,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 15, recto.","This image was derived from an original ©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ©2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vbimg.VB015RUV_0016.v1,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 15, recto.","This image was derived from an original ©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ©2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vbimg.VB015VN_0115.v1,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 15, verso.","This image was derived from an original ©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ©2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vbimg.VB015VUV_0083.v1,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 15, verso.","This image was derived from an original ©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ©2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vbimg.VB016RN_0460.v1,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 16, recto.","This image was derived from an original ©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ©2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vbimg.VB016RUV_0017.v1,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 16, recto.","This image was derived from an original ©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ©2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vbimg.VB016VN_0116.v1,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 16, verso.","This image was derived from an original ©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ©2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vbimg.VB016VUV_0082.v1,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 16, verso.","This image was derived from an original ©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ©2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
