urn	text
urn:cts:greekLit:tlg5026.msAim.normed:24.31.comment	εν αλλω ουτε γαρ αν
urn:cts:greekLit:tlg5026.msAim.normed:24.32.comment	γραφεται: ενι φρεσι ⁑
urn:cts:greekLit:tlg5026.msAim.normed:24.33.comment	οτι τον ιδαιον επιθετικως καλητορα ειπεν
urn:cts:greekLit:tlg5026.msAim.normed:24.34.comment	γραφεται ευσσωτρου .
urn:cts:greekLit:tlg5026.msAim.normed:24.35.comment	οτι εδ ει χιτωνα. ειτα φαρος ⁑
urn:cts:greekLit:tlg5026.msAim.normed:24.36.comment	γραφεται και υεις διχως ουν ⁑
urn:cts:greekLit:tlg5026.msAim.normed:24.37.comment	το εκ προς το θεων τα εκ θεων κηδεα πεσσει ⁑
urn:cts:greekLit:tlg5026.msAim.normed:24.38.comment	ουτως αρισταρχος αντι του αναπαυσωμεθα · απρεπες γαρ το λεγειν τον πριαμον ταρπωμεθα ⁑
urn:cts:greekLit:tlg5026.msAim.normed:24.39.comment	ουτως αρισταρχος . στορεσαν δυικως ⁑
urn:cts:greekLit:tlg5026.msAim.normed:24.40.comment	αρισταρχος μαλα γαρ δε ου μαλα δε ⁑
urn:cts:greekLit:tlg5026.msAim.normed:24.41.comment	αρισταρχος εστεωτ’ ⁑
urn:cts:greekLit:tlg5026.msAim.normed:24.42.comment	γραφεται πολιν δε
urn:cts:greekLit:tlg5026.msAim.normed:24.43.comment	ζηνοδοτος νεον ωλεο :
urn:cts:greekLit:tlg5026.msAim.normed:24.44.comment	εν αλλω· παις δ' ετι ⁑
urn:cts:greekLit:tlg5026.msAim.normed:24.45.comment	εν αλλω οντιν' ελεησι
urn:cts:greekLit:tlg5026.msAim.normed:24.46.comment	εν αλλω οις αγανοισι βελεσσι εποιχομενος καταπεφνη ⁑
urn:cts:greekLit:tlg5026.msAim.normed:24.47.comment	γραφεται ενισσοι
urn:cts:greekLit:tlg5026.msAim.normed:24.48.comment	γραφεται ειεν :
urn:cts:greekLit:tlg5026.msAim.normed:24.49.comment	νυν βδελυττονται ⁑
urn:cts:greekLit:tlg5026.msAim.normed:24.50.comment	εν αλλω ροδοδακτυλος ηως ⁑
urn:cts:greekLit:tlg5026.msAim.normed:24.51.comment	εν αλλω αχνυμενοι κηρ ⁑
urn:cts:greekLit:tlg5026.msAil.normed:24.A1.comment	κατειργασατο⁑
urn:cts:greekLit:tlg5026.msAil.normed:24.A2.comment	διαπερων
urn:cts:greekLit:tlg5026.msAil.normed:24.A3.comment	ανεστρεφατο⁑
urn:cts:greekLit:tlg5026.msAil.normed:24.A4.comment	στενων
urn:cts:greekLit:tlg5026.msAil.normed:24.A5.comment	ι
urn:cts:greekLit:tlg5026.msAil.normed:24.B1.comment	πεισθεις.
urn:cts:greekLit:tlg5026.msAil.normed:24.D1.comment	εχωριζετο
urn:cts:greekLit:tlg5026.msAil.normed:24.X1.comment	πορευθη
urn:cts:greekLit:tlg5026.msAil.normed:24.1.comment	κατεχεατο
urn:cts:greekLit:tlg5026.msAil.normed:24.2.comment	πολλης θεας αξια κοσμια ⁑
urn:cts:greekLit:tlg5026.msAil.normed:24.3.comment	γε
urn:cts:greekLit:tlg5026.msAil.normed:24.4.comment	εδοξαζου
urn:cts:greekLit:tlg5026.msAil.normed:24.5.comment	αντι του ουτως
urn:cts:greekLit:tlg5026.msAil.normed:24.6.comment	ουτω χωρις του ς
urn:cts:greekLit:tlg5026.msAil.normed:24.7.comment	αποφυγης
urn:cts:greekLit:tlg5026.msAil.normed:24.8.comment	τα περι βληματα της κλινης
urn:cts:greekLit:tlg5026.msAil.normed:24.9.comment	τεον
urn:cts:greekLit:tlg5026.msAil.normed:24.10.comment	εντελλομενη
urn:cts:greekLit:tlg5026.msAil.normed:24.11.comment	καθαρον
urn:cts:greekLit:tlg5026.msAil.normed:24.12.comment	μελαν
urn:cts:greekLit:tlg5026.msAil.normed:24.13.comment	ευκλειστος
urn:cts:greekLit:tlg5026.msAil.normed:24.14.comment	τηλικαυτα
urn:cts:greekLit:tlg5026.msAil.normed:24.15.comment	φιλον γενεσθαι και εταιρον
urn:cts:greekLit:tlg5026.msAil.normed:24.16.comment	ουτως δια του ο φερον
urn:cts:greekLit:tlg5026.msAil.normed:24.17.comment	ανεσχου
urn:cts:greekLit:tlg5026.msAil.normed:24.18.comment	ταρπ
urn:cts:greekLit:tlg5026.msAil.normed:24.19.comment	εγευσαμην
urn:cts:greekLit:tlg5026.msAil.normed:24.20.comment	τας κοιτας
urn:cts:greekLit:tlg5026.msAil.normed:24.21.comment	σπευδουσαι
urn:cts:greekLit:tlg5026.msAil.normed:24.22.comment	εκτος της σκηνης
urn:cts:greekLit:tlg5026.msAil.normed:24.23.comment	ειλκεν εσσυρεν ⁑
urn:cts:greekLit:tlg5026.msAil.normed:24.24.comment	ανθηρος
urn:cts:greekLit:tlg5026.msAil.normed:24.25.comment	επιπληττοι
urn:cts:greekLit:tlg5026.msAint.normed:24.A1.comment	εν αλλω ενεκ' αρχης⁑
urn:cts:greekLit:tlg5026.msAint.normed:24.B1.comment	γραφεται ου νυ ποθ' υμιν·
urn:cts:greekLit:tlg5026.msAint.normed:24.B2.comment	οτι αντι θυμου μενος ⁑
urn:cts:greekLit:tlg5026.msAint.normed:24.C1.comment	οσον επι τη εμη κρισει⁑
urn:cts:greekLit:tlg5026.msAint.normed:24.C2.comment	το ει αντι ειθε διο ουδε υποστικτεον⁑
urn:cts:greekLit:tlg5026.msAint.normed:24.C3.comment	οτι την σαμοθρακην ουτως ειπεν
urn:cts:greekLit:tlg5026.msAint.normed:24.X1.comment	αρισταρχος προιαπτω
urn:cts:greekLit:tlg5026.msAint.normed:24.X2.comment	ουτως αρισταρχος ενικως εν κλισιη
urn:cts:greekLit:tlg5026.msAint.normed:24.X3.comment	οπερ δι αλλων λεγει νηων εν αγωνι
urn:cts:greekLit:tlg5026.msAint.normed:24.X4.comment	οτι θηλυκως την ιλιον
urn:cts:greekLit:tlg5026.msAint.normed:24.X5.comment	γραφεται η κε
urn:cts:greekLit:tlg5026.msAint.normed:24.1.comment	αρισταρχος κεδανδει
urn:cts:greekLit:tlg5026.msAint.normed:24.2.comment	γραφεται μεγιστον
urn:cts:greekLit:tlg5026.msAint.normed:24.3.comment	οτι ιδη και νοηση παραλληλως ταυτον εστιν ⁑
urn:cts:greekLit:tlg5026.msAint.normed:24.4.comment	αρισταρχος εσυμνητηρι τουτεστι βασιλικω ⁑
urn:cts:greekLit:tlg5026.msAint.normed:24.5.comment	γραφεται κακoν
urn:cts:greekLit:tlg5026.msAint.normed:24.6.comment	γραφεται αλλ’ ετι τις ⁑
urn:cts:greekLit:tlg5026.msAint.normed:24.7.comment	οτι αντιφραζει τον χολον τη μηνιδι ⁑
urn:cts:greekLit:tlg5026.msAint.normed:24.8.comment	ουτως αρισταρχος κακ’ ανσχεο ⁑
urn:cts:greekLit:tlg5026.msAint.normed:24.9.comment	εξω του ν ο κε συνδεσμος ⁑
urn:cts:greekLit:tlg5026.msAint.normed:24.10.comment	οτι ουτως εσχηματιοσε τους φυλακας ⁑
urn:cts:greekLit:tlg5026.msAint.normed:24.11.comment	ο αχιλλευς
urn:cts:greekLit:tlg5026.msAint.normed:24.12.comment	γραφεται ως εκελευσας ⁑
urn:cts:greekLit:tlg5026.msAint.normed:24.13.comment	ως επιφερει
urn:cts:greekLit:tlg5026.msAint.normed:24.14.comment	γραφεται φερον
urn:cts:greekLit:tlg5026.msAint.normed:24.15.comment	εν αλλω οι μεν δη θρηνεον :
urn:cts:greekLit:tlg5026.msAint.normed:24.16.comment	εν αλλω τοισιν ⁑
urn:cts:greekLit:tlg5026.msAext.normed:24.B1.comment	γραφεται η οι κεχαρισμενα δωρ' ονομηνεν
urn:cts:greekLit:tlg5026.msAext.normed:24.B2.comment	ου νυ ποθ' υμιν
urn:cts:greekLit:tlg5026.msAext.normed:24.B3.comment	περι αιδους ·
urn:cts:greekLit:tlg5026.msAext.normed:24.B4.comment	ηε κασιγνητον ηε
urn:cts:greekLit:tlg5026.msAext.normed:24.B5.comment	και οδυρομενος
urn:cts:greekLit:tlg5026.msAext.normed:24.X1.comment	αμαξαν
urn:cts:greekLit:tlg5026.msAext.normed:24.X2.comment	η δε
urn:cts:greekLit:tlg5026.msAext.normed:24.1.comment	εκελευσεν
urn:cts:greekLit:tlg5026.msAext.normed:24.2.comment	υψοροφον
urn:cts:greekLit:tlg5026.msAext.normed:24.3.comment	εδρακον
urn:cts:greekLit:tlg5026.msAext.normed:24.4.lemma	εξεσιην·
urn:cts:greekLit:tlg5026.msAext.normed:24.4.comment	δημοσιαν εκπεμψιν· δασυνεται δε η β συλλαβην παρα τον ησω μελλοντα
urn:cts:greekLit:tlg5026.msAext.normed:24.5.comment	ονησιν εχετε
urn:cts:greekLit:tlg5026.msAext.normed:24.6.comment	πολιος
urn:cts:greekLit:tlg5026.msAext.normed:24.7.comment	ρητορικος
urn:cts:greekLit:tlg5026.msAext.normed:24.8.comment	αλλ ετι τις
urn:cts:greekLit:tlg5026.msAext.normed:24.9.comment	
urn:cts:greekLit:tlg5026.msAext.normed:24.10.comment	τω δε βρισηις
urn:cts:greekLit:tlg5026.msAext.normed:24.11.comment	ωφελλ' απολεσθαι
urn:cts:greekLit:tlg5026.msAext.normed:24.12.comment	εστενε
urn:cts:greekLit:tlg5026.msA.normed:24.A1.lemma	λυτο δ' αγων,
urn:cts:greekLit:tlg5026.msA.normed:24.A1.comment	ει μεν μεσος β αοριστος εστιν απο των εις μι ωσπερ ηδη επισταται λεγων· νυν δε λυμην τρις τοσσα πορον · και της δ` αρα κλαιουσης λυτο γουνατα εκτασις εγενετο δια το μετρον· ει δε παρατατικον τινες εκδεχονται δυναται κρασις του ελυετο γεγενησθαι ωσπερ επι του ιχθυες ιχθυς μυες μυς ρυεσθαι ρυσθαι παντων αθρωπων ρυσθαι γενεην τε τοκον τε· η απο του λελυτο λυτο ως βεβλητο βλητο ⁑
urn:cts:greekLit:tlg5026.msA.normed:24.A2.lemma	πατροκλου ποθεων:
urn:cts:greekLit:tlg5026.msA.normed:24.A2.comment	εως των μιμνησκομενος αθετουνται στιχοι δ οτι ευτελης εισι αρθεντων δε αυτων και εμφαντικωτερον δηλουται η του αχιλεως λυπη. αλλ' εστρεφετ' ενθα και ενθα αλλοτ' επι πλευρας και τοις αυτοις καταγινεται ανδροτητα και μενος ουδεν γαρ διαφερει και ουδεποτ' ανδροτητ` ειρηκε την ανδρειαν αλλ' ηνορεαν . ειχε και το δυσεξειληπτον των μιμνησκομενος και γαρ ανω ειρηκεν εταιρου μεμνημενος προηθετουντο δε και παρα αριστοφανει ταυτα δε ητοι συναπτεον τοις ανω ιν' ηι κοινον το ποθεων η αφ' ετερας αρχης αναγνωστεον ινα υποστειζωμεν επι το κυματα πειρων⁑
urn:cts:greekLit:tlg5026.msA.normed:24.A3.comment	ο δε λογος και οσα συν αυτω κατειργασατο εργα πολεμων τε και πλεων τουτων μιμνησκομενος εδακρυεν⁑
urn:cts:greekLit:tlg5026.msA.normed:24.A4.lemma	αλεγεινα τε κυματα πειρων·
urn:cts:greekLit:tlg5026.msA.normed:24.A4.comment	παμφιλος περισπα λεγων την προσθεσιν του ι μη εξαλλασσειν τον τονον ει δε περω οιδεν ο ποιητης · το ρημα και περοωσι και περαα μεγα λαιτμα δηλον οτι και πειρων ο μεντοι αρισταρχος βαρυνων αναγινωσκει ως κειρων φησι γουν ουτω γενομενος επι του παννυχιη μεν ρ η γε και ηω, πειρ’ εκελευθον · “το πειρε διδασκει ημας και την πειρων μετοχην βαρυνειν ως γαρ εκειρε κειρων. ουτως επειρε πειρων ει γαρ περιεσπατο ην αν ο παρατατικος επειρα“ εστιν ουν διττον το ρημα και το μεν συν τω ι περισπασθησεται ⁑
urn:cts:greekLit:tlg5026.msA.normed:24.A5.lemma	δινευεσκ' αλυων
urn:cts:greekLit:tlg5026.msA.normed:24.A5.comment	ψιλως το αλυων δηλον κακ της συναλειφης⁑
urn:cts:greekLit:tlg5026.msA.normed:24.A6.lemma	αυτις ενι κλισιη:
urn:cts:greekLit:tlg5026.msA.normed:24.A6.comment	οτι παρειται η ανα και εστιν αναπαυεσκετο· η οτι ο δε παλιν περισσος ου γαρ εστι λεγειν ον εδεσμευεν αλλα χωρις ο δε ειτα εασκεν αντι του εια ⁑
urn:cts:greekLit:tlg5026.msA.normed:24.A7.lemma	τονδε δ' εασκεν:
urn:cts:greekLit:tlg5026.msA.normed:24.A7.comment	ομοιως αναγνωστεον το τονδε . τω τονδε δ' εγων επιοντα και τονδε δ' εγω κομιω λεγω και οξυνων την πρωτην ιν η επεκτασις η δια του δε ⁑
urn:cts:greekLit:tlg5026.msA.normed:24.A8.lemma	εν κονι εκτανυσας
urn:cts:greekLit:tlg5026.msA.normed:24.A8.comment	οτι ουδεν πλεον του πρηνεα ως οταν λεγη αταρτηρον τον ατηρον ⁑
urn:cts:greekLit:tlg5026.msA.normed:24.A9.lemma	και τεθνειοτα περ:
urn:cts:greekLit:tlg5026.msA.normed:24.A9.comment	αθετουνται· αρκει γαρ το προειρησθαι πασαν αεικειην απεχε χροι φωτ' ελεαιρων· το δε πως μηκετ' επεκδιδασκει οτι απεμφαινων εστιν ανιερον γαρ και ακαθαρτον την του διος αιγιδα νεκρου περιβλημα γινεσθαι· πως δε και κατειληπτο τη αιγιδι ελκομενος ινα μη αποστραφη η πως ελαβε την αιγιδα παρα διος ου γαρ συγκαταποθειται τη απολυτρωσει του νεκρου αλλ' υστερον· ο δε απολλων ουκ ειχεν εξουσιαν της αιγιδος· ει δε ταυτα εγεγραπτο. ουκ αν αλλας αιτιας εισεφερε του καταδρυπτεσθαι λεγει μεντοι ροδοεντι χριεν ελαιω αμβροσιω ινα μη μιν αποδρυφοι ελκυσταζων . και περι του απολλωνος ον τροπον πασαν αεικειην απεχε χροι λεγει· τω δ' επι κυανεον νεφος ηγαγε φοιβος απολλων ινα διαμενη ενικμος και περινιζεται την απο του φονου ακαθαρσιαν. ως φησιν ο ερμης τω πριαμω θειοιο κεν αυτος επελθων οιον εερσηεις κειται περι δ' αιμα νενιπται ⁑
urn:cts:greekLit:tlg5026.msA.normed:24.A10.lemma	και τεθνηοτα περ περι δ' αιγιδι·
urn:cts:greekLit:tlg5026.msA.normed:24.A10.comment	ουτως αιγιδα χρυσειην αι αρισταρχου · περι ολον αυτον εκαλυπτε την χρυσην αιγιδα και μηποτε ομηρικωτερον τοιον τοι εγω νεφος αμφικαλυψω χρυσεον ⁑
urn:cts:greekLit:tlg5026.msA.normed:24.A11.lemma	κλεψαι δ' οτρυνεσκον:
urn:cts:greekLit:tlg5026.msA.normed:24.A11.comment	ζευς ερασθεις μαιας της ατλαντιδος λαθων ηραν εμιγη· η δε εγγυος γενομενη εν κυλληνη της αρκαδιας ερμην εγεννησεν οστις επιθυμιαν εσχεν του κλεπτειν οτι και ζευς κλεψας την ηραν εμιγη μαια και δη ποτε της μητρος μετα των αδελφων αυτης λουομενης· λαθων υφειλετο τας εσθητας· γυμναι δε εκειναι ηπορουν τι πραξωσιν γελωτα δε δια τουτου ερμης ποιησας απεδωκεν αυταις τας εσθητας εκλεψε δε καιτας απολλωνος βους· η ιστορια παρα ερατοσθενει ⁑
urn:cts:greekLit:tlg5026.msA.normed:24.A12.lemma	ενθ' αλλοις μεν εως τουτην δ' ηνισ' η οι πορε μαχλοσυνην·
urn:cts:greekLit:tlg5026.msA.normed:24.A12.comment	αθετουνταιστιχοι εξ γελοιον γαρ το ουδε ποθ' ηρη ουδε ποσειδαωνι ουδε γλαυκωπιδι κουρη τινες μεν γαρ ετι ελειποντο των τριων σεμνοτεροι μετα τον δια των μη συνευδοκουντων· την τε περι του καλλους κρισιν ουκ οιδεν πολλαχη γαρ αν εμνησθη και το νεικεσσε ουκ εστι κριναι αλλ' επιπληξαι. η διαφερεσθαι νεικειων ελενον τε παριν αντι του επιπλησσων · δυο δ' ανδρες ενεικεον εινεκα ποινης διεφεροντο. και η μαχλοσυνη κοινως εστι γυναικος μανια δεδωκ' δ' αυτω ου ταυτην αλλα την καλλιστην των τοτε ελενην ησιοδιος δ' εστιν η λεξις εκεινος γαρ πρωτος εχρησατο επι των προιτου θυγατερων⁑
urn:cts:greekLit:tlg5026.msA.normed:24.B1.lemma	‡ την δ' ηνησ, η οι, πορε:
urn:cts:greekLit:tlg5026.msA.normed:24.B1.comment	παρα αριστοφανει και τισι των πολ¨ητικων η οι κεχαρισμενα δωρ' ονομηνε και ταχα μαλλον ουτως αν εχοι αθετει γαρ αρισταρχος δια την μαχλοσυνην τον στιχον ⁑
urn:cts:greekLit:tlg5026.msA.normed:24.B2.lemma	ουν υποθ' υμιν
urn:cts:greekLit:tlg5026.msA.normed:24.B2.comment	εγκλιτικως την υμιν αναγνωστεον εστι γαρ απολυτος ⁑
urn:cts:greekLit:tlg5026.msA.normed:24.B3.lemma	εν πυρι κημενι
urn:cts:greekLit:tlg5026.msA.normed:24.B3.comment	οτι ου μονοι οι επι ξενης τελευτωντες εκαιοντο, αλλα και οι επι της ιδιας πατριδος ⁑
urn:cts:greekLit:tlg5026.msA.normed:24.B4.lemma	οστ' επει αρ μεγαλη τε βιη:
urn:cts:greekLit:tlg5026.msA.normed:24.B4.comment	ο επει συνδεσμος περισσευει διοπερ ουκ επιζητητεον την υπ αυτου ειωθυιαν αποτελεισθαι υποστιγμην ο γαρ λογος ος τη γε δυναμει και τη επιθυμιαι ειξας επερχεται θρεμμασιν επει δε, σπανιως εστιν ευρειν τουτον τον συνδεσμον περισσευοντα μηποτε δια του η εγεγραπτο ειξης ινα υποστιζωμεν μετ αυτο· και ο λογος επει δ αν τη δυναμει και τη επιθυμια κρατηθη επερχεται θρεμμα ⁑
urn:cts:greekLit:tlg5026.msA.normed:24.B5.lemma	γινεται η τ' ανδρας:
urn:cts:greekLit:tlg5026.msA.normed:24.B5.comment	αθετειται οτι εκ των ησιοδου μετενηνεκται υπο τινος νομισαντος ελλειπειν τον λογον και γαρ τοις υποκειμενοις εναντιον τι πεποιηκεν. ει γαρ βλαπτει η αιδως, ευλογον αχιλλευς αναιδεστατος βουλοιτο ειναι· παρα μεν γαρ ησιοδω γνωμικως εκει γαρ ον τι λοχον εχει της αιδους ποτε μεν ωφελιαν περιποιουσης ποτε δε βλαβην. δει δε εξωθεν προσυπακουσαι το εστι ιν η, ουδε οι αιδως εστι και πληρης ο λογος ⁑
urn:cts:greekLit:tlg5026.msA.normed:24.B6.lemma	η δ' ονινησι.
urn:cts:greekLit:tlg5026.msA.normed:24.B6.comment	τινες εδασυναν το ηδε ινα η αιδως διττη υπαρχη η μεν βλαπτουσει · η δε ωφελουσα ουτως δε και ευριπιδης εξεδεξατο ειπων διττας ειναι αιδους δυναιτο δ' αν η αυτη ουσα πη μεν ωφελιμος ειναι πη δε βλαβερα ⁑
urn:cts:greekLit:tlg5026.msA.normed:24.B7.lemma	ηε κασιγνητον
urn:cts:greekLit:tlg5026.msA.normed:24.B7.comment	οτι τουτο προσεθηκεν επει κασιγνητους τους ανεψιους που λεγει παλιν δε ομογαστριον λεγει και ουχ ως ζηνοδοτος εγραφεν εκει μη με κτειν' επει ουκι ογαστριος εκτορος ⁑
urn:cts:greekLit:tlg5026.msA.normed:24.C1.lemma	εκτωρ μεν θνητος τε:
urn:cts:greekLit:tlg5026.msA.normed:24.C1.comment	τουτο ενιοι των κριτικων κατα συνωνυμιαν μεταλαμβανουσι λεγοντες αυτον ειναι γυναικα και ανθρωπον και θνητον, ως γινεσθαι τοιουτον. εκτωρ μεν θνητος θνητον τε θησατο μαζον αλλοι δε παρειληφθαι το γυναικα αντι του κτητικου γυναικειον· τους δε αττικους και δωριεας τοις κυριωτεροις χρησθαι αντι κτητικων ελληνα στρατον αντι ελληνικον και ανθρωπον ηθος αντι του ανθρωπινον και ελλαδα διαλεκτον⁑
urn:cts:greekLit:tlg5026.msA.normed:24.C2.lemma	εκτωρ μεν θνητος τε:
urn:cts:greekLit:tlg5026.msA.normed:24.C2.comment	η διπλη, οτι αντι του γυναικος μαζον ομηρικον δε το εθος ως την μεν πρυμνην αμφεπε ⁑
urn:cts:greekLit:tlg5026.msA.normed:24.C3.lemma	αλλ' ητοι κλεψαι μεν·
urn:cts:greekLit:tlg5026.msA.normed:24.C3.comment	αθετουνται στιχοι γ οτι ψευδος περιεχουσιν· ου γαρ δια παντος συνδιατριβει αυτω η θετις το δε εασομεν νυν αντι του παρωμεν οιον μηδε λεγωμεν οπερ αγνοησαντες οι περι αντιμαχον εποιησαν κλεψαι μεν αμηχανον γραφεται δε κατ' ενια ευ γαρ οι αιει δια μεσου δε το ουδε πη εστι το δε εξης αλλ' ητοι κλεψαι μεν εασομεν λαθρη αχιλληος
urn:cts:greekLit:tlg5026.msA.normed:24.C4.lemma	η γαρ οι αιει
urn:cts:greekLit:tlg5026.msA.normed:24.C4.comment	ουκ αναγκαιον το η αρθρον εκδεχεσθαι και δασυνειν εθος γαρ αυτω εσθ' οτε παραλειπειν τα αρθρα αλλα φιλη μητηρ , μητηρ μεν τε με φησι συνδεσμος ουν εστι βεβαιωτικος δι ο περισπαστεον⁑
urn:cts:greekLit:tlg5026.msA.normed:24.C5.lemma	αλλ' ει τις καλεσειε·
urn:cts:greekLit:tlg5026.msA.normed:24.C5.comment	οτι εξ ονοματος μη καλεσαντος του διος η προς τουτο τεταγμενη ιρις υπακουει ωσπερ και οταν ο αχιλλευς λεγη κοινοτερον. αλλ αγε δη τινα μαντιν. ευλογως ουν παλιν ερει ω αχιλευ κελεαι με
urn:cts:greekLit:tlg5026.msA.normed:24.C6.lemma	θεων θετιν ασσον εμειο·
urn:cts:greekLit:tlg5026.msA.normed:24.C6.comment	τινες το θεων επι του τρεχων εξεδεξαντο μετοχην παρααλαμβανοντες και εβαρυναν. απιθανον δε δι ο περισπαστεον γενικη γαρ εστι πληθυντικη ονοματος του θεος ⁑
urn:cts:greekLit:tlg5026.msA.normed:24.C7.lemma	ως εφατ' ωρτο δε ιρις
urn:cts:greekLit:tlg5026.msA.normed:24.C7.comment	ετι προς το προκειμενον δια την ομοιοτητα του μαρτυριου⁑
urn:cts:greekLit:tlg5026.msA.normed:24.D1.lemma	ες βυσσον ορουσεν:
urn:cts:greekLit:tlg5026.msA.normed:24.D1.comment	επεκρατησεν το οξυνεσθαι τω τα εις ος ληγοντα ονοματα δισυλλαβα, αρχομενα απο συμφωνου η συμφωνων δεδιπλασιασμενον εχοντα το ς , οξυνεσθαι θελειν κισσος πεσσος . αντι του πιπτει το μεσσος ⁑
urn:cts:greekLit:tlg5026.msA.normed:24.D2.lemma	η τε κατ αγραυλοιο βοος κερας:
urn:cts:greekLit:tlg5026.msA.normed:24.D2.comment	οτι ου λεγει βοος κερας βοος τριχα δια το τριχινην ειναι την ορμιαν λιναις γαρ εχρωντο . οι δε νυν ουδε βοειαις χρωνται αλλ' ιππειαις. λεγοι αν ουν βοος κερας κυριως κατεσκευαζον γαρ συριγγα: εκ κερατος βοειου, ην παρετιθεσαν τη ορμια υπερ το αγκιστρον οπως μη οι ιχθυς αποτρωγωσι τον λινον ⁑
